[23-maj-11 09.07.11] {pyplot.py:339} DEBUG - Loaded backend qtagg version 5.15.7.
[23-maj-11 09.07.53] {MainTidsAggr.py:157} DEBUG - Aggr2, Single.heatProfile='Total2021', elProfile='Hist2019'
[23-maj-11 09.14.15] {MainTidsAggr.py:160} DEBUG - Aggr2, Single.heatProfile='Total2021', elProfile='Hist2019'
[23-maj-11 09.14.30] {AggrLib.py:328} DEBUG - i=4705, mask=array([ True, False, False, False,  True, False, False, False, False,
       False, False, False])
[23-maj-11 09.18.08] {MainTidsAggr.py:160} DEBUG - Aggr2, Single.heatProfile='Total2021', elProfile='Hist2019'
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=0, im=6, shiftTime=6, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=2, im=4, shiftTime=6, maxLen=4
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=17, im=7, shiftTime=24, maxLen=7
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=23, im=1, shiftTime=24, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=24, im=6, shiftTime=30, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=29, im=1, shiftTime=30, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=45, im=3, shiftTime=48, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=48, im=6, shiftTime=54, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=68, im=1, shiftTime=69, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=69, im=3, shiftTime=72, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=72, im=6, shiftTime=78, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=90, im=3, shiftTime=93, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=93, im=3, shiftTime=96, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=95, im=1, shiftTime=96, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=96, im=6, shiftTime=102, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=115, im=2, shiftTime=117, maxLen=2
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=117, im=3, shiftTime=120, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=120, im=6, shiftTime=126, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=138, im=6, shiftTime=144, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=144, im=6, shiftTime=150, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=162, im=6, shiftTime=168, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=166, im=2, shiftTime=168, maxLen=2
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=168, im=6, shiftTime=174, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=170, im=4, shiftTime=174, maxLen=4
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=184, im=5, shiftTime=189, maxLen=5
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=189, im=3, shiftTime=192, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=191, im=1, shiftTime=192, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=192, im=6, shiftTime=198, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=197, im=1, shiftTime=198, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=209, im=4, shiftTime=213, maxLen=4
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=213, im=3, shiftTime=216, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=216, im=6, shiftTime=222, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=229, im=8, shiftTime=237, maxLen=8
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=237, im=3, shiftTime=240, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=240, im=6, shiftTime=246, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=255, im=6, shiftTime=261, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=261, im=3, shiftTime=264, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=264, im=6, shiftTime=270, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=282, im=3, shiftTime=285, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=285, im=3, shiftTime=288, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=288, im=6, shiftTime=294, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=291, im=3, shiftTime=294, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=303, im=9, shiftTime=312, maxLen=9
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=310, im=2, shiftTime=312, maxLen=2
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=312, im=6, shiftTime=318, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=317, im=1, shiftTime=318, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=328, im=8, shiftTime=336, maxLen=8
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=335, im=1, shiftTime=336, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=336, im=6, shiftTime=342, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=341, im=1, shiftTime=342, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=354, im=3, shiftTime=357, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=357, im=3, shiftTime=360, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=360, im=6, shiftTime=366, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=378, im=3, shiftTime=381, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=381, im=3, shiftTime=384, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=384, im=6, shiftTime=390, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=388, im=2, shiftTime=390, maxLen=2
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=402, im=3, shiftTime=405, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=405, im=3, shiftTime=408, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=408, im=6, shiftTime=414, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=425, im=4, shiftTime=429, maxLen=4
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=427, im=2, shiftTime=429, maxLen=2
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=429, im=3, shiftTime=432, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=432, im=6, shiftTime=438, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=449, im=4, shiftTime=453, maxLen=4
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=453, im=3, shiftTime=456, maxLen=3
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=456, im=6, shiftTime=462, maxLen=6
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=473, im=7, shiftTime=480, maxLen=7
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=479, im=1, shiftTime=480, maxLen=1
[23-maj-11 09.18.20] {AggrLib.py:334} DEBUG - i=480, im=6, shiftTime=486, maxLen=6
